City,Townhouse-Condo Attached,Single-Family Detached,New Listings,Pending Sales,Closed Sales,Days on Market Until Sale,Median Sales Price,Average Sales Price,Percent of Original List Price Received,Inventory of Homes for Sale,Year,Month
Alamo,0,1,23.0,,11.0,44,2135000,2369636,97.56,19,2021,1
Alamo,1,0,,,2.0,50,826500,826500,98.77,0,2021,1
Blackhawk,0,1,10.0,,9.0,64,2700000,2813144,97.86,13,2021,1
Blackhawk,1,0,1.0,,,0,0,0,0.0,0,2021,1
Clayton,0,1,11.0,,9.0,13,1028300,1005356,101.97,7,2021,1
Clayton,1,0,3.0,,,0,0,0,0.0,0,2021,1
Concord,0,1,93.0,,63.0,13,740000,755697,105.29,39,2021,1
Concord,1,0,32.0,,24.0,18,352500,363025,101.53,20,2021,1
Clyde,0,1,,,,0,0,0,0.0,0,2021,1
Clyde,1,0,,,,0,0,0,0.0,0,2021,1
Danville,0,1,70.0,,37.0,21,1515000,1797554,102.4,41,2021,1
Danville,1,0,11.0,,12.0,21,832500,784000,101.8,9,2021,1
Diablo,0,1,2.0,,1.0,65,4700000,4700000,100.0,1,2021,1
Diablo,1,0,,,,0,0,0,0.0,0,2021,1
Lafayette,0,1,20.0,,21.0,39,1650000,2134190,99.67,24,2021,1
Lafayette,1,0,6.0,,1.0,9,965000,965000,100.0,8,2021,1
Martinez,0,1,28.0,,28.0,16,740000,832125,103.35,17,2021,1
Martinez,1,0,15.0,,11.0,32,420000,454182,99.88,9,2021,1
Pacheco,0,1,1.0,,2.0,25,712500,712500,100.43,1,2021,1
Pacheco,1,0,,,1.0,14,510000,510000,97.33,0,2021,1
Moraga Canyon,0,1,19.0,,12.0,29,1643950,1637742,103.96,7,2021,1
Moraga Canyon,1,0,9.0,,5.0,48,595000,664080,98.3,9,2021,1
Orinda,0,1,11.0,,12.0,36,1816500,1943677,102.93,17,2021,1
Orinda,1,0,2.0,,,0,0,0,0.0,3,2021,1
Pleasant Hill,0,1,24.0,,28.0,30,962500,968085,102.5,16,2021,1
Pleasant Hill,1,0,12.0,,7.0,34,535000,568298,102.51,8,2021,1
Rossmoor,0,1,1.0,,,0,0,0,0.0,3,2021,1
Rossmoor,1,0,45.0,,27.0,49,460000,483824,98.23,52,2021,1
San Ramon,0,1,53.0,,35.0,13,1350000,1432801,107.75,24,2021,1
San Ramon,1,0,34.0,,22.0,22,560000,665261,101.4,10,2021,1
Walnut Creek,0,1,54.0,,39.0,23,1250000,1322485,101.93,33,2021,1
Walnut Creek,1,0,63.0,,40.0,34,547000,584423,100.39,45,2021,1
Crockett Port_Costa,0,1,,2.0,2.0,55,626500,626500,97.51,3,2021,1
Crockett Port_Costa,1,0,,,,0,0,0,0.0,0,2021,1
Rodeo,0,1,5.0,4.0,3.0,8,530000,571667,104.87,1,2021,1
Rodeo,1,0,,,,0,0,0,0.0,0,2021,1
Hercules 1301,0,1,5.0,4.0,8.0,18,802500,824125,106.53,1,2021,1
Hercules 1301,1,0,10.0,6.0,2.0,9,438750,438750,106.75,4,2021,1
Hercules 1302,0,1,11.0,9.0,8.0,13,807500,785000,105.48,0,2021,1
Hercules 1302,1,0,,,1.0,11,453500,453500,101.23,1,2021,1
Pinole,0,1,15.0,16.0,12.0,18,707500,703583,108.56,6,2021,1
Pinole,1,0,2.0,4.0,1.0,7,454900,454900,103.39,1,2021,1
El Sobrante_County,0,1,6.0,5.0,5.0,26,780000,815400,104.03,3,2021,1
El Sobrante_County,1,0,2.0,2.0,2.0,55,361500,361500,103.24,2,2021,1
San Pablo_Proper,0,1,4.0,2.0,5.0,17,520000,500000,104.43,9,2021,1
San Pablo_Proper,1,0,1.0,,3.0,29,365000,395296,106.38,4,2021,1
San Pablo_Tara_Hills_Bayview,0,1,8.0,8.0,1.0,40,570000,570000,103.83,1,2021,1
San Pablo_Tara_Hills_Bayview,1,0,,,,0,0,0,0.0,0,2021,1
San Pablo_Montavin,0,1,,,,0,0,0,0.0,1,2021,1
San Pablo_Montavin,1,0,,,,0,0,0,0.0,0,2021,1
San Pablo_Rollingwood,0,1,,,1.0,34,596000,596000,101.21,2,2021,1
San Pablo_Rollingwood,1,0,,,,0,0,0,0.0,1,2021,1
Richmond El_Sobrante,0,1,7.0,5.0,4.0,6,670000,680000,110.58,4,2021,1
Richmond El_Sobrante,1,0,2.0,,2.0,13,345500,345500,100.79,4,2021,1
Richmond Hilltop_College,0,1,4.0,4.0,3.0,6,565000,557000,108.86,3,2021,1
Richmond Hilltop_College,1,0,4.0,1.0,,0,0,0,0.0,1,2021,1
Richmond View,0,1,4.0,4.0,8.0,18,927500,820625,115.11,4,2021,1
Richmond View,1,0,,,,0,0,0,0.0,0,2021,1
Richmond North_&_East,0,1,9.0,7.0,5.0,6,550000,597000,114.72,2,2021,1
Richmond North_&_East,1,0,,,,0,0,0,0.0,0,2021,1
Richmond North_&_West_Parchest,0,1,3.0,5.0,11.0,21,435000,456318,104.4,4,2021,1
Richmond North_&_West_Parchest,1,0,,,,0,0,0,0.0,0,2021,1
Richmond South,0,1,10.0,6.0,7.0,25,540000,531786,102.33,9,2021,1
